id status gender office years age practice school
01 1 1 1 31 64 1 1
02 1 1 1 32 62 2 1
03 1 1 2 13 67 1 1
04 1 1 1 31 59 2 3 
05 1 1 2 31 59 1 2
06 1 1 2 29 55 1 1
07 1 1 2 29 63 2 3
08 1 1 1 28 53 1 3
09 1 1 1 25 53 2 1
10 1 1 1 25 53 2 3
11 1 1 1 23 50 1 1
12 1 1 1 24 52 2 2
13 1 1 1 22 57 1 2
14 1 1 2 01 56 2 1
15 1 1 3 21 48 2 3
16 1 1 1 20 46 2 1
17 1 1 1 23 50 2 1
18 1 1 2 18 45 1 2
19 1 1 1 19 46 2 1
20 1 1 1 19 49 1 1
21 1 1 1 17 43 1 2
22 1 1 1 09 49 1 3
23 1 1 1 16 45 1 2
24 1 1 1 15 44 1 2
25 1 1 2 15 43 2 2
26 1 1 1 15 41 1 3
27 1 2 1 13 47 1 1
28 1 1 2 11 38 2 2
29 1 2 1 10 38 2 3
30 1 1 2 07 39 1 3
31 1 1 2 08 34 1 2
32 1 1 2 08 33 1 3
33 1 1 2 08 37 1 3
34 1 2 1 08 36 2 2
35 1 1 2 08 33 2 3
36 1 1 1 05 43 1 3
37 2 1 3 05 44 2 3
38 2 2 1 07 53 1 2
39 2 2 1 06 37 1 1
40 2 1 1 06 34 1 1
41 2 1 1 05 31 1 2
42 2 1 1 04 31 2 2
43 2 2 1 05 47 1 2
44 2 2 3 05 53 2 1
45 2 1 1 03 38 2 3
46 2 2 2 03 42 2 2
47 2 1 3 03 38 1 3
48 2 2 1 01 35 2 3
49 2 1 1 04 36 1 2
50 2 1 2 03 31 2 2
51 2 2 2 04 29 1 3
52 2 1 1 04 29 1 3
53 2 1 1 10 38 2 3
54 2 1 1 03 29 1 3
55 2 1 1 03 34 1 3
56 2 1 1 03 38 1 2
57 2 2 1 03 33 1 2
58 2 1 2 03 33 1 3
59 2 2 2 02 30 1 2
60 2 2 1 02 31 2 2
61 2 2 1 02 34 2 3
62 2 1 1 02 32 2 2
63 2 1 2 02 29 2 2
64 2 2 1 02 45 2 2
65 2 1 1 02 28 1 3
66 2 1 1 01 43 1 3
67 2 2 1 01 35 1 2
68 2 1 1 01 26 1 3
69 2 2 1 01 38 1 3
70 2 1 1 01 31 2 2
71 2 2 1 01 26 1 2
